product_url,rxcui_scd,similarity_scd
https://www.costplusdrugs.com/medications/ofloxacin-0_003-solution-5ml/,312075,0.970343786909455
https://www.costplusdrugs.com/medications/dorzolamidehcl-0_02-solution/,310015,0.9431226956917221
https://www.costplusdrugs.com/medications/moxifloxacinhcl-0_5-ophthalmicsolution/,403818,0.9706067073619766
https://www.costplusdrugs.com/medications/brimonidine-tartrate-timolol-0_2-0_5-15ml-bottle-of-solution/,861635,0.9678413560371079
https://www.costplusdrugs.com/medications/bimatoprost-0_03-solution-dropper-2_5-lumigan/,308739,0.9765146817245804
https://www.costplusdrugs.com/medications/brinzolamide-1-suspension-dropper-15-azopt/,308805,0.9093060023684922
https://www.costplusdrugs.com/medications/loteprednol-etabonate-0_50-bottle-of-suspension-5-lotemax/,311382,0.9475205838755572
https://www.costplusdrugs.com/medications/atovaquone-750mg_5ml-210ml-bottle-of-suspension/,308429,0.9463093029797758
https://www.costplusdrugs.com/medications/OfloxacinOtic-0_003-Solution/,242446,0.9786097791320051
https://www.costplusdrugs.com/medications/sodium-polystyrene-sulfonate-60meq-bottle-of-powder-15-kayexalate/,2101899,0.8443376547920881
https://www.costplusdrugs.com/medications/prednisolone-sodium-phosphate-20mg-5ml-bottle-of-soltuion-237-veripred-20/,249066,0.9314817489188265
https://www.costplusdrugs.com/medications/enalapril-maleate-1mg-ml-bottle-of-solution-150-epaned/,1435624,0.9673500138322755
https://www.costplusdrugs.com/medications/moxifloxacin-hcl-2x-day-0_50-bottle-of-solution-3-moxeza/,403818,0.9597357325057629
https://www.costplusdrugs.com/medications/chlorhexidine-gluconate-0_12-bottle-of-solution-473-peridex/,834127,0.8907308028335705
https://www.costplusdrugs.com/medications/erythromycin-2-bottle-of-solution-60-a-t-s/,318202,0.9253064017450316
https://www.costplusdrugs.com/medications/fluocinolone-acetonide-0_03-tube-of-ointment-60-synalar/,1191256,0.9618450199768435
