full_address,latitude,longitude,location_type
"160 BROADWAY EAST BUILDING 6TH FLOOR, NEW YORK, NY 10038, USA",40.7141913,-73.99049839999999,ROOFTOP
"19 BOWERY, 2/FL., SUITE 1, NEW YORK, NY 10002, USA",40.7142339,-73.9977175,ROOFTOP
"281 BROADWAY, NEW YORK, NY 10007, USA",40.7145417,-74.0063191,ROOFTOP
"19 BOWERY FL 2, NEW YORK, NY 10002, USA",40.7146385,-73.9967441,ROOFTOP
"19 BOWERY, NEW YORK, NY 10002, USA",40.714654,-73.99678589999999,ROOFTOP
"465 GRAND ST, NEW YORK, NY 10002, USA",40.7147772,-73.9839516,ROOFTOP
"87 CHAMBERS STREET, NEW YORK, NY 10007, USA",40.7149319,-74.0070913,ROOFTOP
"116 CHAMBERS ST FL 4, NEW YORK, NY 10007, USA",40.714959,-74.008552,ROOFTOP
"41 MOTT ST FL 5, NEW YORK, NY 10013, USA",40.71515,-73.999003,ROOFTOP
"325 BROADWAY STE 204, NEW YORK, NY 10007, USA",40.7161502,-74.00505009999999,ROOFTOP
"168 CANAL ST FL 4, NEW YORK, NY 10013, USA",40.7163285,-73.99734389999999,ROOFTOP
"168 CANAL ST STE 312, NEW YORK, NY 10013, USA",40.7163285,-73.99734389999999,ROOFTOP
"200 CHAMBERS ST, NEW YORK, NY 10007, USA",40.7165767,-74.0124769,GEOMETRIC_CENTER
"311 GREENWICH ST, NEW YORK, NY 10013, USA",40.7165872,-74.0106018,ROOFTOP
"220 CHURCH ST FL 5, NEW YORK, NY 10013, USA",40.7169382,-74.0069604,ROOFTOP
"41 ELIZABETH ST, NEW YORK, NY 10013, USA",40.7169974,-73.9969277,ROOFTOP
"185 CANAL ST STE 305, NEW YORK, NY 10013, USA",40.7170713,-73.9978067,ROOFTOP
"185 CANAL STREET, NEW YORK, NY 10013, USA",40.7170735,-73.99781469999999,ROOFTOP
"185 CANAL ST # 501, NEW YORK, NY 10013, USA",40.7170735,-73.99781469999999,ROOFTOP
"185 CANAL ST STE 504, NEW YORK, NY 10013, USA",40.7170735,-73.99781469999999,ROOFTOP
"86 BOWERY ST, NEW YORK, NY 10013, USA",40.717172,-73.9958466,ROOFTOP
"86 BOWERY, NEW YORK, NY 10013, USA",40.717172,-73.9958466,ROOFTOP
"350 GRAND ST, NEW YORK, NY 10002, USA",40.7171921,-73.9894666,ROOFTOP
"125 WALKER ST, NEW YORK, NY 10013, USA",40.7172728,-73.9998523,ROOFTOP
"53 ELIZABETH ST # 5A, NEW YORK, NY 10013, USA",40.7172898,-73.9967762,ROOFTOP
"139 CENTRE ST, NEW YORK, NY 10013, USA",40.71731,-74.0007425,ROOFTOP
"139 CENTRE STREET, NEW YORK, NY 10013, USA",40.71731,-74.0007425,ROOFTOP
"139 CENTRE ST STE 609, NEW YORK, NY 10013, USA",40.7175205,-74.00081449999999,ROOFTOP
"139 CENTRE ST STE 202, NEW YORK, NY 10013, USA",40.7175205,-74.00081449999999,ROOFTOP
"139 CENTRE ST STE 502, NEW YORK, NY 10013, USA",40.7175205,-74.00081449999999,ROOFTOP
"118 BAXTER ST STE 206, NEW YORK, NY 10013, USA",40.7179739,-73.9992591,ROOFTOP
"221 CANAL ST, NEW YORK, NY 10013, USA",40.7180014,-73.9996606,ROOFTOP
"118 BAXTER ST STE 303, NEW YORK, NY 10013, USA",40.7180208,-73.99930619999999,ROOFTOP
