specialty_id,category_id
171000000X,6
1744P3200X,6
1835P1400X,5
1835G0303X,3
1835P2201X,6
1835N0905X,6
183700000X,6
1835P0018X,6
1835E0208X,15
1835N1003X,6
183500000X,6
1835C0205X,8
1835P1300X,10
1835S0206X,6
1835C0206X,9
1835P0200X,3
1835P1200X,6
1835I0206X,6
1835C0207X,6
1835X0200X,12
363A00000X,6
367H00000X,6
367A00000X,6
367500000X,6
363L00000X,6
364S00000X,6
211D00000X,6
213E00000X,6
2278E1000X,6
2278P3900X,3
225XG0600X,6
2279S1500X,6
229N00000X,6
222Q00000X,6
224Z00000X,6
2278E0002X,15
225XE0001X,6
225XP0019X,4
2251G0304X,3
224P00000X,6
227900000X,6
2279E0002X,15
2278H0200X,6
2279P4000X,6
2279P1005X,4
2278S1500X,6
2278G0305X,3
224ZE0001X,6
225XL0004X,6
225C00000X,4
225XR0403X,6
227800000X,6
2278P4000X,6
225A00000X,6
224Y00000X,6
226300000X,6
226000000X,6
2278P1004X,8
2251S0007X,4
2279C0205X,8
224900000X,6
2279P3900X,3
224L00000X,6
2251X0800X,4
2279E1000X,6
224ZF0002X,6
2251N0400X,5
2251P0200X,3
2279P3800X,6
2255A2300X,6
2251E1200X,6
2279G1100X,6
2278C0205X,8
2279H0200X,6
225500000X,6
221700000X,6
2251C2600X,9
225CX0006X,4
2278P1005X,4
225XM0800X,6
224ZR0403X,6
225000000X,6
2279G0305X,3
225700000X,6
225XP0200X,3
225XF0002X,6
225800000X,6
2278G1100X,6
225X00000X,6
2251E1300X,9
225200000X,6
2279P1004X,8
225600000X,6
2278P3800X,6
224ZL0004X,6
222Z00000X,6
225100000X,6
225400000X,4
231H00000X,6
237700000X,6
235Z00000X,6
235500000X,6
237600000X,6
390200000X,6
2471N0900X,6
247ZC0005X,6
242T00000X,6
246X00000X,9
246XS1301X,9
2471Q0001X,6
2471R0002X,6
246ZX2200X,4
246W00000X,9
2471C1106X,6
2471S1302X,6
246Z00000X,6
246XC2903X,9
2471V0106X,9
2471M2300X,6
2471B0102X,6
246R00000X,6
246Y00000X,6
247000000X,6
243U00000X,6
2471C1101X,9
2471V0105X,9
246XC2901X,9
247200000X,6
2471M1202X,6
246ZS0410X,6
246Q00000X,6
247100000X,6
2471C3402X,6
2471C3401X,6
246ZC0007X,6
103GC0700X,5
103TE1000X,10
103TW0100X,10
103TP2700X,10
103TM1700X,10
1835G0000X,6
213EG0000X,6
207ZC0006X,6
207ZP0102X,6
207ZP0101X,6
207ZP0105X,6
207QP0002X,3
2086P0122X,7
2080P1004X,3
207RP1002X,3
207LP4000X,6
207RB0002X,3
2084B0002X,5
2080B0002X,3
207VB0002X,2
207QB0002X,3
2083B0002X,3
2278P1006X,8
225B00000X,8
2279P1006X,8
101YM0800X,6
101YS0200X,6
103TM1800X,10
101YP2500X,6
101YP1600X,6
101YA0400X,10
1041S0200X,6
133NN1002X,6
163WC1400X,6
163WH1000X,6
163WP1700X,6
163WC2100X,6
163WX0003X,2
163WH0200X,6
163WG0000X,6
163WM0705X,6
163WC0400X,6
163WD0400X,6
163WC0200X,8
163WW0000X,6
163WX0002X,2
163WP2201X,6
163WP0200X,3
163WX0800X,4
163WP0808X,10
163WH0500X,6
163WR0400X,4
163WU0100X,16
163WX0106X,6
163WX0200X,12
163WD1100X,6
163WL0100X,6
163WE0003X,15
163WE0900X,6
163WA2000X,6
163WI0600X,6
163WR1000X,2
163WA0400X,10
163WC1500X,6
163WN0002X,6
163WN1003X,6
163WM1400X,6
163WP0000X,5
163WS0200X,6
163WN0800X,5
163WX1100X,11
163WP0809X,10
163WG0600X,6
163WM0102X,2
163WX0601X,6
163WC1600X,6
163WG0100X,13
163WS0121X,7
163WX1500X,6
163WP0218X,3
163WI0500X,6
163WP0807X,10
163WW0101X,6
163WN0300X,1
163WN0003X,6
163WC3500X,4
163WF0300X,6
1744R1103X,6
174MM1900X,6
1744R1102X,6
1744G0900X,6
363LP0222X,3
363LC0200X,8
364SE0003X,15
364SW0102X,6
364SI0800X,6
364ST0500X,6
363LA2100X,6
363LN0005X,8
364SC0200X,8
364SA2200X,6
364SP0812X,10
364SP0813X,10
363LG0600X,6
364SL0600X,6
363LW0102X,6
363LX0106X,6
364SF0001X,3
363LF0000X,3
364SE1400X,6
364SA2100X,6
363LP0200X,3
364SX0204X,3
363AS0400X,6
364SH1100X,6
364SP1700X,6
364SH0200X,6
363LC1500X,6
364SM0705X,6
363LP0808X,10
363LA2200X,6
364SC2300X,6
364SP0807X,10
363AM0700X,6
364SN0800X,5
364SR0400X,4
363LS0200X,6
364SP0200X,3
364SP0811X,10
364SX0106X,6
364SP0808X,10
363LP1700X,6
363LP2300X,3
364SP0809X,10
363LX0001X,2
364SP2800X,6
364SC1501X,6
364SX0200X,12
364SN0000X,6
364SP0810X,3
364SS0200X,6
363LN0000X,6
364SG0600X,6
213EP0504X,6
213ES0103X,7
213ER0200X,6
213EP1101X,3
213ES0000X,4
213ES0131X,7
2255R0406X,4
2251H1200X,4
225CA2500X,4
2251H1300X,6
225XH1200X,4
225XH1300X,6
225XE1200X,6
225XN1300X,4
225CA2400X,4
231HA2500X,6
2355S0801X,6
231HA2400X,6
2355A2700X,6
246QI0000X,6
246RM2200X,6
246ZN0300X,1
246QB0000X,6
246QC1000X,6
246ZE0500X,6
246QM0900X,6
246QL0901X,6
246QH0401X,6
246ZE0600X,5
246RH0600X,6
2472R0900X,6
246ZB0500X,6
246QH0000X,12
2472E0500X,6
246RP1900X,6
246QC2700X,6
246QM0706X,6
246QH0600X,6
246ZG1000X,6
246QL0900X,6
246ZB0600X,6
2472D0500X,6
246ZB0301X,6
2470A2800X,6
246ZA2600X,6
246ZG0701X,6
246YC3301X,15
246ZB0302X,6
2472V0600X,6
246YR1600X,6
2472B0301X,6
246YC3302X,6
246ZI1000X,6
